Step: 10000, AvgScore: 380.0
Step: 20000, AvgScore: 854.0
Step: 30000, AvgScore: 840.0
Step: 40000, AvgScore: 910.0
Step: 50000, AvgScore: 1120.0
Step: 60000, AvgScore: 1042.0
Step: 70000, AvgScore: 1104.0
Step: 80000, AvgScore: 1016.0
Step: 90000, AvgScore: 1470.0
Step: 100000, AvgScore: 1998.0
Step: 110000, AvgScore: 1212.0
Step: 120000, AvgScore: 1852.0
Step: 130000, AvgScore: 1494.0
Step: 140000, AvgScore: 1600.0
Step: 150000, AvgScore: 1256.0
Step: 160000, AvgScore: 1764.0
Step: 170000, AvgScore: 1992.0
Step: 180000, AvgScore: 1534.0
Step: 190000, AvgScore: 1476.0
Step: 200000, AvgScore: 1638.0
Step: 210000, AvgScore: 1596.0
Step: 220000, AvgScore: 2448.0
Step: 230000, AvgScore: 2536.0
Step: 240000, AvgScore: 1654.0
Step: 250000, AvgScore: 2250.0
